FlightDate,Airline,Origin,Dest,CRSDepTime,CRSArrTime,Distance,DepDelayMinutes,DepDel15,DepartureDelayGroups,TaxiOut,AirTime,ArrDelayMinutes
2022-04-09,Mesa Airlines Inc.,CMH,IAD,1446,1608,299.0,0.0,0.0,0.0,10.0,51.0,0.0
2022-06-16,JetBlue Airways,DTW,JFK,1144,1334,509.0,146.0,1.0,9.0,2|0.0,84.0,171.0
2022-02-07,Southwest Airlines Co.,ATL,RDU,2145,2305,356.0,0.0,0.0,-1.0,13.0,59.0,0.0
2022-05-17,Envoy Air,ORD,SYR,950,1240,60||7.0,19.0,1.0,1.0,14.0,80.0,6.0
2022-03-30,Allegiant Air,FSD,FLL,1207,1636,1526.0,0.0,0.0,-1.0,10.0,210.0,14.0
2022-07-16,Southwest Airlines Co.,MCO,DEN,1315,1505,1546.0,38.0,1.0,2.0,42.0,211.0,68.0
2022-06-04,JetBlue Airways,JFK,SLC,1859,2235,1990.0,20.0,1.0,1.0,39.0,275.0,5.0
2022-03-07,Comair Inc.,CLT,GSO,927,1032,83.0,0.0,0.0,-1.0,38.0,29.0,0.0
2022-04-11,Delta Air Lines Inc.,ATL,DAL,1457,1613,721.0,0.0,0.0,-1.0,14.0,117.0,0.0
2022-01-12,Delta Air Lines Inc.,BZN,SLC,600,734,347.0,0.0,0.0,-1.0,16.0,49.0,0.0
2022-06-22,Delta Air Lines Inc.,MSY,JFK,1107,1520,1182.0,0.0,0.0,-1.0,11.0,170.0,0.0
2022-01-27,Frontier Airlines Inc.,DEN,SAN,1430,1559,"8,53.0",4.0,0.0,0.0,16.0,114.0,0.0
2022-03-24,Spirit Air Lines,MCO,EWR,1402,1642,937.0,4#|8.0,1.0,3.0,"3|,3.0",129.0,57.0
2022-01-13,JetBlue Airways,DEN,BOS,2359,539,"17,54.0",0.0,0.0,-1.0,13.0,195.0,0.0
2022-03-24,Delta Air Lines Inc.,ATL,FLL,1959,2147,581.0,5.0,0.0,0.0,23.0,98.0,25.0
2022-03-25,Mesa Airlines Inc.,DFW,PIA,1322,1516,672.0,"5,7.0",1.0,3.0,12.0,88.0,51.0
2022-06-05,Allegiant Air,BNA,ROA,1258,1528,381.0,0.0,0.0,-1.0,12.0,56.0,0.0
2022-06-17,SkyWest Airlines Inc.,ORD,SLN,1037,1239,559.0,0.0,0.0,-1.0,22.0,81.0,0.0
2022-01-13,Envoy Air,SJT,DFW,614,735,229.0,0.0,0.0,0.0,20.0,42.0,0.0
2022-06-04,SkyWest Airlines Inc.,DEN,RIC,942,1514,1482.0,18.0,1.0,1.0,16.0,181.0,12.0
2022-05-16,American Airlines Inc.,DFW,JFK,1246,1729,1391.0,105.0,1.0,7.0,15.0,184.0,94.0
2022-06-29,SkyWest Airlines Inc.,COS,DEN,604,700,73.0,0.0,0.0,-1.0,17.0,23.0,0.0
2022-04-08,American Airlines Inc.,PHL,ORD,728,855,678.0,28.0,1.0,1.0,22.0,98.0,13.0
2022-05-29,American Airlines Inc.,MIA,STT,1055,1346,1107.0,11.0,0.0,0.0,19.0,138.0,1.0
2022-01-28,Southwest Airlines Co.,ECP,BNA,700,825,401.0,0.0,0.0,-1.0,9|.0,59.0,0.0
2022-04-27,Southwest Airlines Co.,FLL,BWI,1230,1500,"925,.0",6|#.0,0.0,0.0,15.0,122.0,0.0
2022-01-06,American Airlines Inc.,CLT,SJU,1106,1541,1475.0,"60,.0",1.0,4.0,10.0,178.0,52.0
2022-01-20,Capital Cargo International,FLO,CLT,1240,1349,99.0,0.0,0.0,-1.0,13.0,24.0,0.0
